term	CRIS_specific_bigram	CRIS_general_bigram	MIMIC_bigram	A1	A2
overtalkative	N	Y	N	2	3
verbose	N	Y	N	2	3
uninterruptible	N	Y	N	2	3
uninterruptable	N	Y	N	2	3
slowed	N	Y	N	2	3
slightly_pressured	N	Y	N	2	3
bizarre	N	Y	N	3	2
distractible	N	Y	N	2	3
overinclusive	N	Y	N	2	3
easily_interruptible	N	Y	N	3	3
rhyming	N	Y	N	2	3
word_salad	N	Y	N	2	2
disorganized	N	Y	N	3	2
expansive	N	Y	N	2	3
association_derailment	N	Y	N	2	1
inaudible	N	Y	N	3	3
garrulous	N	Y	N	2	3
unintelligible	N	Y	N	2	3
slight_pressure	N	Y	N	2	3
circular	N	Y	N	3	3
sensical	N	Y	N	3	3
paranoid_flavour	N	Y	N	2	2
neologism	N	Y	N	2	2
disorganisation	N	Y	N	2	2
impoverished_thinking	N	Y	N	2	3
none_derailment	N	Y	N	3	3
withdrawal_insertion	N	Y	N	3	2
flight	N	Y	N	3	2
none_neologism	N	Y	N	3	3
poverty	N	Y	N	3	3
clanging	N	Y	N	2	2
grandiose_delusion	N	Y	N	1	1
flights	N	Y	N	3	3
ftd	N	Y	N	1	2
bizarre_behaviours	N	Y	N	1	2
psychotic_sx	N	Y	N	1	1
ti_tb	N	Y	N	3	3
withdrawal_broadcast	N	Y	N	3	2
though_broadcast	N	Y	N	1	1
broadcast_perceptions	N	Y	N	3	2
passivity_phenomenal	N	Y	N	2	1
somatic_delusions	N	Y	N	1	1
ti_tw	N	Y	N	3	3
broadcasting	N	Y	N	3	2
tw_passivity	N	Y	N	3	2
special_abilities	N	Y	N	2	2
nihilistic_delusion	N	Y	N	1	1
referential_thinking	N	Y	N	2	2
altered_perceptions	N	Y	N	1	2
psychotic_phenomenal	N	Y	N	1	1
gustatory_hallucination	N	Y	N	1	1
insertion_removal	N	Y	N	3	2
perceptual_abnormality	N	Y	N	2	2
broadcast_withdrawal	N	Y	N	3	2
beleifs	N	Y	N	3	2
fixed_beliefs	N	Y	N	3	2
suspicions	N	Y	N	2	2
disorganised_thinking	N	Y	N	2	1
auditory_olfactory	N	Y	N	3	2
visual_tactile	N	Y	N	2	2
visuals	N	Y	N	2	3
gustatory_olfactory	N	Y	N	3	2
seeing_shapes	N	Y	N	2	2
unusual_experiences	N	Y	N	2	2
hypnogogic	N	Y	N	2	3
seeing_shadows	N	Y	N	2	2
derogatory	N	Y	N	3	2
third_person	N	Y	N	2	2
command	N	Y	N	3	2
derogatory_auditory	N	Y	N	3	2
whispers	N	Y	N	3	3
obeying	N	Y	N	3	3
derogatory_nature	N	Y	N	3	2
instruct_him	N	Y	N	3	2
degatory	N	Y	N	3	3
commanding	N	Y	N	3	2
deluded	N	Y	N	1	1
guarded_suspicious	N	Y	N	2	2
highly_aroused	N	Y	N	2	2
suspicious_guarded	N	Y	N	2	2
guarded	N	Y	N	2	2
perplexed	N	Y	N	2	3
highly_agitated	N	Y	N	2	2
hypomanic	N	Y	N	2	1
mute	N	Y	N	2	2
emotionally_labile	N	Y	Y	2	3
acutely_confused	N	Y	N	2	3
highly_distressed	N	Y	N	2	2
somatic	N	Y	N	2	2
broadcasting_or	N	Y	N	3	2
broadcast_abnormal	N	Y	N	3	2
nihilism	N	Y	N	2	3
withdrawal_broadcasting	N	Y	N	3	2
broadcast_perception	N	Y	N	3	2
obsessions	N	Y	N	2	3
distortion	N	Y	N	3	3
passivity_alienation	N	Y	N	2	2
insertions	N	Y	N	3	2
grandeur	N	Y	N	3	2
parnoid	N	Y	N	2	2
neologisms	N	Y	N	2	2
disorientation	N	N	Y	2	3
confusion	N	N	Y	2	3
sundowning	N	N	Y	2	3
tremulousness	N	N	Y	2	3
suicidal_ideations	N	N	Y	2	3
suicidal_ideation	N	N	Y	2	3
forgetfulness	N	N	Y	2	3
anxiety_attacks	N	N	Y	2	3
seizures	N	N	Y	2	3
blurry_vision	N	N	Y	2	3
double_vision	N	N	Y	2	3
disturbances	N	N	Y	3	2
tongue_biting	N	N	Y	2	3
belligerant	N	N	Y	3	3
delirious	N	N	Y	2	3
shaky	N	N	Y	2	3
manipulative	N	N	Y	2	3
hostile	N	N	Y	2	2
mumbling	N	N	Y	2	3
belligerent	N	N	Y	3	3
delerious	N	N	Y	2	3
confused_disoriented	N	N	Y	2	3
beligerant	N	N	Y	3	3
anxiousness	N	N	Y	2	3
psychosis	N	N	Y	1	1
delerium	N	N	Y	2	3
delirium	N	N	Y	2	3
depressive	N	N	Y	2	3
restlessnes	N	N	Y	2	3
aggitation	N	N	Y	2	2
nonsensical	N	N	Y	2	3
photophobia	N	N	Y	2	3
tactile_disturbances	N	N	Y	2	2
auditory_disturbances	N	N	Y	2	2
audio	N	N	Y	3	3
cp_palpitations	N	N	Y	2	3
blurred_vision	N	N	Y	2	3
headache_dizziness	N	N	Y	3	3
